Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
BANDI.SIDDU,Janata Dal  (Secular),36551,Karnataka,Lingsugur,S10,57
D. S. HOOLAGERI,Indian National Congress,35979,Karnataka,Lingsugur,S10,57
MANAPPA D VAJJAL,Bharatiya Janata Party,32611,Karnataka,Lingsugur,S10,57
R MANASAYYA,Communist Party of India (Marxist-Leninist) Red Star,1972,Karnataka,Lingsugur,S10,57
A BALASWAMY KODLI,Independent,1807,Karnataka,Lingsugur,S10,57
HANUMANTA KAREKALLU,Indian New Congress Party,1217,Karnataka,Lingsugur,S10,57
SHIVAPUTRA CHALUVADI,Independent,1030,Karnataka,Lingsugur,S10,57
SOMALINGA DUBARI,Independent,996,Karnataka,Lingsugur,S10,57
SHRINIVAS BHOVI,Independent,926,Karnataka,Lingsugur,S10,57
NAGARAJ MOTI,Independent,515,Karnataka,Lingsugur,S10,57
HONNAPPA,All India Mahila Empowerment Party,485,Karnataka,Lingsugur,S10,57
None of the Above,None of the Above,1511,Karnataka,Lingsugur,S10,57
BADARLI HAMPANGOUDA,Indian National Congress,33655,Karnataka,Sindhanur,S10,58
VENKATRAO NADAGOUDA,Janata Dal  (Secular),32432,Karnataka,Sindhanur,S10,58
KOLLA SHESHAGIRIRAO,Bharatiya Janata Party,6826,Karnataka,Sindhanur,S10,58
DR.JALALUDDIN AKBAR,Janata Dal  (United),570,Karnataka,Sindhanur,S10,58
SURESH GOUDA MUNDINAMANE,Independent,342,Karnataka,Sindhanur,S10,58
NANA SAHUKAR ATTAR,Independent,330,Karnataka,Sindhanur,S10,58
SHIVALINGA KODLI,Independent,270,Karnataka,Sindhanur,S10,58
HANUMANTHAPPA UPPAR,Independent,181,Karnataka,Sindhanur,S10,58
BASAVANAGOUDA,Samanya Janatha Party (Loktantrik),146,Karnataka,Sindhanur,S10,58
SHANTAPPA,Independent,137,Karnataka,Sindhanur,S10,58
LAKSHMI DEVI BETTAN GOWDA,All India Mahila Empowerment Party,129,Karnataka,Sindhanur,S10,58
M.M.ANANDA KUMAR,Independent,123,Karnataka,Sindhanur,S10,58
YANKAYYA SHETTY,Namma Congress,117,Karnataka,Sindhanur,S10,58
SHARIFSAB DODDAMANI,Independent,107,Karnataka,Sindhanur,S10,58
RAMANNA EARALAGADDI,Independent,95,Karnataka,Sindhanur,S10,58
SHABBIR,Karnataka Jantha Paksha,88,Karnataka,Sindhanur,S10,58
CHANNABASAYYA SWAMY C.B.,Independent,87,Karnataka,Sindhanur,S10,58
None of the Above,None of the Above,673,Karnataka,Sindhanur,S10,58
PRATAPGOUDA PATIL,Indian National Congress,54286,Karnataka,Maski,S10,59
BASANAGOWDA-TURVIHAL,Bharatiya Janata Party,53945,Karnataka,Maski,S10,59
RAJASOMANATH NAYAK,Janata Dal  (Secular),10729,Karnataka,Maski,S10,59
BASAVANAGAUD,Independent,894,Karnataka,Maski,S10,59
BABU NAYAK,All India Mahila Empowerment Party,839,Karnataka,Maski,S10,59
AMARESH MATUR,Independent,754,Karnataka,Maski,S10,59
None of the Above,None of the Above,1851,Karnataka,Maski,S10,59
AMAREGOUDA LINGANAGOUDA PATIL BAYYAPUR,Indian National Congress,73661,Karnataka,Kushtagi,S10,60
DODDANAGOUDA HANAMAGOUDA PATIL,Bharatiya Janata Party,56771,Karnataka,Kushtagi,S10,60
H.C.NEERAVARI,Janata Dal  (Secular),3538,Karnataka,Kushtagi,S10,60
VAZEER B GONAL,Independent,978,Karnataka,Kushtagi,S10,60
RAMANAGOUDA MALIPATIL,Independent,438,Karnataka,Kushtagi,S10,60
MANJULA MARIYAPPA MADIVAL,Indian New Congress Party,413,Karnataka,Kushtagi,S10,60
BALRAJ YADAV,Independent,256,Karnataka,Kushtagi,S10,60
YALLANAGOUDA,Rashtriya Jansambhavna Party,240,Karnataka,Kushtagi,S10,60
SHIVAREDDY SAHEBGOUDA,Hindustan Janta Party,200,Karnataka,Kushtagi,S10,60
None of the Above,None of the Above,1600,Karnataka,Kushtagi,S10,60
BASAVARAJ  DADESUGUR,Bharatiya Janata Party,87735,Karnataka,Kanakagiri,S10,61
SHIVARAJ SANGAPPA TANGADAGI,Indian National Congress,73510,Karnataka,Kanakagiri,S10,61
MANJULA RAVIKUMAR,Janata Dal  (Secular),1464,Karnataka,Kanakagiri,S10,61
KENCHAPPA HIREKHEDA,Communist Party of India  (Marxist-Leninist)  (Liberation),843,Karnataka,Kanakagiri,S10,61
DR. M P DARKESWARAIAH,Independent,686,Karnataka,Kanakagiri,S10,61
RAMESH CHANNADASAR,Independent,572,Karnataka,Kanakagiri,S10,61
MUKKANNA RAMACHANDRAPPA NAIK,All India Mahila Empowerment Party,443,Karnataka,Kanakagiri,S10,61
K ERANNA,Independent,273,Karnataka,Kanakagiri,S10,61
KOTI RAMESH,Janahitha Paksha,160,Karnataka,Kanakagiri,S10,61
K H HULAGANNA,Sarva Janata Party,143,Karnataka,Kanakagiri,S10,61
None of the Above,None of the Above,1676,Karnataka,Kanakagiri,S10,61
PARANNA ESHWARAPPA MUNAVALLI,Bharatiya Janata Party,67052,Karnataka,Gangawati,S10,62
IQBAL ANSARI,Indian National Congress,59366,Karnataka,Gangawati,S10,62
KARIYANNA SANGATI,Janata Dal  (Secular),14103,Karnataka,Gangawati,S10,62
G NAGARAJ,Communist Party of India  (Marxist),1043,Karnataka,Gangawati,S10,62
BHARADWAJ,Communist Party of India  (Marxist-Leninist)  (Liberation),757,Karnataka,Gangawati,S10,62
TALURI PRASAD,Independent,578,Karnataka,Gangawati,S10,62
ALAM M.N,Independent,500,Karnataka,Gangawati,S10,62
SHARANAPPA SAJJIHOLA,Aam Aadmi Party,407,Karnataka,Gangawati,S10,62
JOGIN RAMESH NAYAK,Independent,359,Karnataka,Gangawati,S10,62
FATHIMA RAJABAKSHI,Independent,282,Karnataka,Gangawati,S10,62
DIGAMBARRAO ANANTHRAO AMBA,Independent,161,Karnataka,Gangawati,S10,62
SY JARINA SY MUKARAMRAZA,Independent,146,Karnataka,Gangawati,S10,62
None of the Above,None of the Above,1612,Karnataka,Gangawati,S10,62
ACHAR HALAPPA BASAPPA,Bharatiya Janata Party,78164,Karnataka,Yelburga,S10,63
BASAVARAJ RAYAREDDI,Indian National Congress,65042,Karnataka,Yelburga,S10,63
VEERANAGOUDA POLICE PATIL BALLUTAGI,Janata Dal  (Secular),14461,Karnataka,Yelburga,S10,63
ANNADANARAJA AYYANAGOUDA NADAGOUDA,Janahitha Paksha,912,Karnataka,Yelburga,S10,63
RAHAMANSAB S MANGALORE,Independent,738,Karnataka,Yelburga,S10,63
V SADASHIVARAO,Independent,615,Karnataka,Yelburga,S10,63
ALLABHAXI FAKRUDDINSAB KUKANOOR,All India Mahila Empowerment Party,423,Karnataka,Yelburga,S10,63
NINGAPPA BALAPPA,Independent,343,Karnataka,Yelburga,S10,63
SHARANABASAPPA KALLAPPA DAANAKAI,Shivsena,288,Karnataka,Yelburga,S10,63
NAVEEN  HOSAPETI,Independent,230,Karnataka,Yelburga,S10,63
ZAKIRHUSAIN HUSAINSAB,Independent,186,Karnataka,Yelburga,S10,63
None of the Above,None of the Above,1507,Karnataka,Yelburga,S10,63
K. RAGHAVENDRA BASAVARAJ HITNAL,Indian National Congress,85797,Karnataka,Koppal,S10,64
AMARESH SANGANNA KARADI,Bharatiya Janata Party,64816,Karnataka,Koppal,S10,64
K. M. SYED,Janata Dal  (Secular),3731,Karnataka,Koppal,S10,64
MANJUNATH GAVISIDDAPPA PALLED,Janahitha Paksha,865,Karnataka,Koppal,S10,64
SIDDARAMAPPA BHARAMAPPA DODDAMANI (KAVALUR),Independent,611,Karnataka,Koppal,S10,64
HANUMESH. G. MYAGALAMANI,Communist Party of India (Marxist-Leninist) Red Star,575,Karnataka,Koppal,S10,64
SANJAY,Independent,517,Karnataka,Koppal,S10,64
SURESHGOUDA SOMANAGOUDA PATIL,Independent,333,Karnataka,Koppal,S10,64
PAMPAPATI. RATI,Independent,264,Karnataka,Koppal,S10,64
HADAPAD MALLIKARJUNA NIJAGUNAPPA,Independent,226,Karnataka,Koppal,S10,64
None of the Above,None of the Above,1322,Karnataka,Koppal,S10,64
RAMAPPA SOBEPPA LAMANI,Bharatiya Janata Party,91967,Karnataka,Shirahatti,S10,65
DODDAMANI RAMAKRISHNA SHIDLINGAPPA,Indian National Congress,61974,Karnataka,Shirahatti,S10,65
CHANDRAKANTH SUBHAS KADROLLI,Bahujan Samaj Party,939,Karnataka,Shirahatti,S10,65
ARUNKUMAR VEERANNA TIRLAPUR,Janahitha Paksha,867,Karnataka,Shirahatti,S10,65
DODDAMANI MALLIKARJUN YALLAPPA,All India Mahila Empowerment Party,846,Karnataka,Shirahatti,S10,65
AMRUTA RATNAKAR YENI,Independent,651,Karnataka,Shirahatti,S10,65
RAJAVENKATESH DEVARAJ KARABHARI,Rani Chennamma Party,573,Karnataka,Shirahatti,S10,65
DURAGAPPA LAXMAPPA HARIJAN,Independent,539,Karnataka,Shirahatti,S10,65
L NARAYANASWAMY,Bharatiya Republican Paksha,522,Karnataka,Shirahatti,S10,65
GEETA KRISHNA NAYAK,Nationalist Congress Party,267,Karnataka,Shirahatti,S10,65
KUMAR BHIMASHEPPA LAMANI,BhartiyaBahujanKranti Dal,250,Karnataka,Shirahatti,S10,65
None of the Above,None of the Above,1209,Karnataka,Shirahatti,S10,65
HANAMANTAGOUDA KRISHNAGOUDA PATIL,Indian National Congress,73553,Karnataka,Gadag,S10,66
ANIL  MENSINAKAI,Bharatiya Janata Party,71863,Karnataka,Gadag,S10,66
BASANAGOUDA M PATIL,Indian New Congress Party,989,Karnataka,Gadag,S10,66
MANJUNATH BASAPPA ABBIGERI,Independent,969,Karnataka,Gadag,S10,66
MAHABOOBSAB R SOMPUR,Bahujan Samaj Party,913,Karnataka,Gadag,S10,66
SHIRAJ URF SHIRAJAHMAD BALLARY,All India Mahila Empowerment Party,740,Karnataka,Gadag,S10,66
VISHWANATH KHANAPUR,Independent,400,Karnataka,Gadag,S10,66
ABDULKHADARSAB A,Independent,262,Karnataka,Gadag,S10,66
MALLIKARJUN BASAPPA DESAI,Rani Chennamma Party,206,Karnataka,Gadag,S10,66
SHIVARADDEPPA S REDDAR,Janata Dal  (United),178,Karnataka,Gadag,S10,66
None of the Above,None of the Above,1887,Karnataka,Gadag,S10,66
KALAKAPPA BANDI,Bharatiya Janata Party,32573,Karnataka,Ron,S10,67
GURUPADAGOUDA PATIL,Indian National Congress,26027,Karnataka,Ron,S10,67
SUNILKUMAR BAHMANAPAD,Independent,603,Karnataka,Ron,S10,67
MALLIKARJUN HADAPAD,Communist Party of India  (Marxist),583,Karnataka,Ron,S10,67
RAVINDRANATH JAMBUNATH DODDAMETI,Janata Dal  (Secular),481,Karnataka,Ron,S10,67
SHARANAPPA DHARMAYAT,Independent,116,Karnataka,Ron,S10,67
SAYYAD KHALID KOPPAL,All India Mahila Empowerment Party,80,Karnataka,Ron,S10,67
G A LAXMINARAYANAGOUDA,Independent,58,Karnataka,Ron,S10,67
PAKIRAPPA TEGGINAMANI,Independent,39,Karnataka,Ron,S10,67
ASHOK BEVINAKATTI,Shivsena,33,Karnataka,Ron,S10,67
PRAMOD,Independent,32,Karnataka,Ron,S10,67
NAGARATNA CHANDRASHEKAR DESAYI,Rani Chennamma Party,28,Karnataka,Ron,S10,67
BASAVARAJ DESAYI,Janata Dal  (United),19,Karnataka,Ron,S10,67
None of the Above,None of the Above,945,Karnataka,Ron,S10,67
CHANDRAKANTAGOUDA CHANNAPPAGOUDA PATIL,Bharatiya Janata Party,73045,Karnataka,Nargund,S10,68
BASAVARADDI RANGARADDI YAVAGAL,Indian National Congress,65066,Karnataka,Nargund,S10,68
GIRIMALLANAGOUDA ISHWARAGOUDA PATIL,Janata Dal  (Secular),2456,Karnataka,Nargund,S10,68
DANAPPAGOUDA BHEEMANAGOUDA DANAPPAGOUDAR,Shivsena,903,Karnataka,Nargund,S10,68
HASHIMALI SAIYADSAB KHAJI,Indian New Congress Party,685,Karnataka,Nargund,S10,68
SHAKUNTALA YAMANAPPA KONDABENGI,Independent,673,Karnataka,Nargund,S10,68
SURESH MAHARUDRAPPA MUNDARAGI,Bharatiya Rashtriya Mahila Sarvodaya Congress,303,Karnataka,Nargund,S10,68
MUTTU SABANNA SURAKOD,Jana Samanyara Party (Karnataka),291,Karnataka,Nargund,S10,68
None of the Above,None of the Above,1173,Karnataka,Nargund,S10,68
SHANKAR  B. PATIL MUNENAKOPPA,Bharatiya Janata Party,65369,Karnataka,Navalgund,S10,69
N. H. KONARADDI,Janata Dal  (Secular),44983,Karnataka,Navalgund,S10,69
ASUTI VINOD KASHINATH,Indian National Congress,38757,Karnataka,Navalgund,S10,69
SHIVANAND BASAPPA KARIGAR,Independent,4543,Karnataka,Navalgund,S10,69
RAGHAVENDRA SHANKRAPPA TERADAL,Independent,980,Karnataka,Navalgund,S10,69
GURAPPA NAGAPPA TOTAD,Janata Dal  (United),769,Karnataka,Navalgund,S10,69
RADDER SHRIDHAR BHEEMAPPA,Independent,302,Karnataka,Navalgund,S10,69
MALANNAVAR SIDDALINGAPPA BHEEMAPPA,Independent,242,Karnataka,Navalgund,S10,69
DR. JEDAR M.G,Jana Samanyara Party (Karnataka),236,Karnataka,Navalgund,S10,69
RAMESH NAVALGUND BIN VENKAPPA,All India Mahila Empowerment Party,227,Karnataka,Navalgund,S10,69
KRISHNARADDI KENCHARADDIYAVARA,Independent,190,Karnataka,Navalgund,S10,69
AYYAPPA SHIRAKOL,Independent,158,Karnataka,Navalgund,S10,69
MABUSAB RAJESAB DHARAWAD,Hindustan Janta Party,145,Karnataka,Navalgund,S10,69
None of the Above,None of the Above,1911,Karnataka,Navalgund,S10,69
CHANNABASAPPA SATHYAPPA SHIVALLI,Indian National Congress,32099,Karnataka,Kundgol,S10,70
CHIKKANAGOUDRA SIDDANAGOUD ISHWARAGOD,Bharatiya Janata Party,30248,Karnataka,Kundgol,S10,70
HAJARATALI A SHEKH JODAMANI,Janata Dal  (United),2735,Karnataka,Kundgol,S10,70
AKKI MALLIKARJUNA SAHADEVAPPA,Janata Dal  (Secular),2574,Karnataka,Kundgol,S10,70
BASAVARAJ SHIVAPPA SOMAVARAD,Indian New Congress Party,393,Karnataka,Kundgol,S10,70
SHANTAPPA VEERAPPA ALADAKATTI,Independent,370,Karnataka,Kundgol,S10,70
VEERAPPA GURUSHANTAPPA MARADAGI,Independent,316,Karnataka,Kundgol,S10,70
SHAILA SURESH GONI,All India Mahila Empowerment Party,205,Karnataka,Kundgol,S10,70
YALLAPPA HANAMAPPA DABAGONDI,Independent,145,Karnataka,Kundgol,S10,70
NINGAPPA SIDDAPPA BADIGER,Independent,143,Karnataka,Kundgol,S10,70
NAGAPPA YALLAPPA BALAGALI,Independent,139,Karnataka,Kundgol,S10,70
IRAYYA SHIVALINGAYYA HIREMATH,Independent,119,Karnataka,Kundgol,S10,70
None of the Above,None of the Above,518,Karnataka,Kundgol,S10,70
AMRUT AYYAPPA DESAI,Bharatiya Janata Party,71423,Karnataka,Dharwad,S10,71
VINAY KULKARNI,Indian National Congress,54754,Karnataka,Dharwad,S10,71
TIRAKAPPA SADEPPA JAMANAL (SHRIKANT),Janata Dal  (Secular),1095,Karnataka,Dharwad,S10,71
KANTIMATH V RAJASHEKARAYYA,Independent,667,Karnataka,Dharwad,S10,71
NAGAPPA KAREPPA KARENNAVAR,Janahitha Paksha,553,Karnataka,Dharwad,S10,71
BASAVARAJ YALLAPPA PARASANNAVAR,Independent,241,Karnataka,Dharwad,S10,71
SHAKHIL ABDULSATTAR DODAVAD,Independent,228,Karnataka,Dharwad,S10,71
FIROZKHAN  GULABKHAN HAWALDAR,Lok Awaz Dal,143,Karnataka,Dharwad,S10,71
BASAVARAJ UDDINAKOPPA,Azad Mazdoor Kissan Party,138,Karnataka,Dharwad,S10,71
SRI S F  PATIL,Aam Aadmi Party,137,Karnataka,Dharwad,S10,71
None of the Above,None of the Above,1678,Karnataka,Dharwad,S10,71
ABBAYYA  PRASAD,Indian National Congress,39063,Karnataka,Hubli-dharwad-East,S10,72
CHANDRASHEKAR  GOKAK,Bharatiya Janata Party,32484,Karnataka,Hubli-dharwad-East,S10,72
SHOBHA BALLARI,Bahujan Samaj Party,346,Karnataka,Hubli-dharwad-East,S10,72
SUBHAS  SHIVAPPA TEGGI,Independent,197,Karnataka,Hubli-dharwad-East,S10,72
SAHADEVAPPA  D  MALAGI,All India Mahila Empowerment Party,183,Karnataka,Hubli-dharwad-East,S10,72
BASAVARAJ SANJEEVAPPA BAJANTRI,Independent,113,Karnataka,Hubli-dharwad-East,S10,72
SARASWATHI RAYAPPA KATTIMANI,Lok Awaz Dal,88,Karnataka,Hubli-dharwad-East,S10,72
GANGADHAR G PERUR,Independent,74,Karnataka,Hubli-dharwad-East,S10,72
None of the Above,None of the Above,614,Karnataka,Hubli-dharwad-East,S10,72
JAGADISH SHETTAR,Bharatiya Janata Party,8397,Karnataka,Hubli-Dharwad Central,S10,73
DR. MAHESH NALWAD,Indian National Congress,5223,Karnataka,Hubli-Dharwad Central,S10,73
RAJANNA  M. KORAVI,Janata Dal  (Secular),3585,Karnataka,Hubli-Dharwad Central,S10,73
MAQBOOLAHMED  KUSNOOR,Independent,123,Karnataka,Hubli-Dharwad Central,S10,73
MOHAMMED  JAVEED MUDGAL,Independent,103,Karnataka,Hubli-Dharwad Central,S10,73
AYYAPPA SHIRAKOL,Independent,82,Karnataka,Hubli-Dharwad Central,S10,73
MOHAMMED  SADIQ  BARUDAWALE,Independent,81,Karnataka,Hubli-Dharwad Central,S10,73
DHARWAD  ABDUL  RAHAMAN KHAN,Independent,80,Karnataka,Hubli-Dharwad Central,S10,73
SANGAMESHWAR  I. AIHOLLI,Independent,74,Karnataka,Hubli-Dharwad Central,S10,73
GOPAL KULKARNI,Independent,73,Karnataka,Hubli-Dharwad Central,S10,73
SANTOSH P. NARGUND,Aam Aadmi Party,52,Karnataka,Hubli-Dharwad Central,S10,73
DEEPAK  B. SHIROLIKAR,Independent,52,Karnataka,Hubli-Dharwad Central,S10,73
RIZWANA IMRAN YARAGATTI,Independent,51,Karnataka,Hubli-Dharwad Central,S10,73
PHILOMINA PENDEM,All India Mahila Empowerment Party,47,Karnataka,Hubli-Dharwad Central,S10,73
H. L. HAVARAGI,Independent,25,Karnataka,Hubli-Dharwad Central,S10,73
HIDAYAT ALI KHAN  PATHAN,Independent,20,Karnataka,Hubli-Dharwad Central,S10,73
TAKAPPA  YALLAPPA KALAL,Independent,19,Karnataka,Hubli-Dharwad Central,S10,73
VEERAPPA  HOLABASAPPA  ARAKERI,Independent,18,Karnataka,Hubli-Dharwad Central,S10,73
MAGAJIKONDI  SHRIKANT,Karnataka Jantha Paksha,17,Karnataka,Hubli-Dharwad Central,S10,73
MAHADEVASWAMY  M. MADAIAH,Republican Party of India (A),15,Karnataka,Hubli-Dharwad Central,S10,73
ANAND RAJ  DOKKA,Independent,14,Karnataka,Hubli-Dharwad Central,S10,73
SUNANDA  V. KARDIGUDDA,Independent,13,Karnataka,Hubli-Dharwad Central,S10,73
REVANASIDDAPPA  S. HANDED,Independent,13,Karnataka,Hubli-Dharwad Central,S10,73
VITTAL PAWAR,Shivsena,8,Karnataka,Hubli-Dharwad Central,S10,73
KABADI S.N.,Independent,6,Karnataka,Hubli-Dharwad Central,S10,73
ABHAY KUMAR HAVALAD,Independent,5,Karnataka,Hubli-Dharwad Central,S10,73
None of the Above,None of the Above,122,Karnataka,Hubli-Dharwad Central,S10,73
ARVIND BELLAD,Bharatiya Janata Party,50955,Karnataka,Hubli-dharwad- West,S10,74
MOHAMMAD ISMAIL TAMATGAR,Indian National Congress,28198,Karnataka,Hubli-dharwad- West,S10,74
MAKTUMHUSENI SOGALAD,Independent,358,Karnataka,Hubli-dharwad- West,S10,74
RAMA RANGANATH KULKARNI,Independent,209,Karnataka,Hubli-dharwad- West,S10,74
JAVEEDAHAMED BELGAUMKAR,Janata Dal  (United),194,Karnataka,Hubli-dharwad- West,S10,74
IRAPPA K. EMMI,Nationalist Congress Party,184,Karnataka,Hubli-dharwad- West,S10,74
LATHA NETHAJI TERDAL,All India Mahila Empowerment Party,130,Karnataka,Hubli-dharwad- West,S10,74
NAGARAJ C BADIGER,Independent,121,Karnataka,Hubli-dharwad- West,S10,74
CHANDRASHEKHAR ANEMATH,Independent,102,Karnataka,Hubli-dharwad- West,S10,74
MANJUNATH S. HALAGALIMATH,Karnataka Pragnyavantha Janatha Party,96,Karnataka,Hubli-dharwad- West,S10,74
RAJU KAMBLE,Azad Mazdoor Kissan Party,55,Karnataka,Hubli-dharwad- West,S10,74
MANNARI VADIRAJ,All India Hindustan Congress Party,51,Karnataka,Hubli-dharwad- West,S10,74
VINOD GHODKE,"Proutist Bloc, India",49,Karnataka,Hubli-dharwad- West,S10,74
REVANSHIDDAPPA BASAVARAJ TALAWAR,Janahitha Paksha,41,Karnataka,Hubli-dharwad- West,S10,74
None of the Above,None of the Above,963,Karnataka,Hubli-dharwad- West,S10,74
C M NIMBANNAVAR,Bharatiya Janata Party,17886,Karnataka,Kalghatgi,S10,75
SANTOSH S LAD,Indian National Congress,17796,Karnataka,Kalghatgi,S10,75
AMBADAGATTI SHIVANAND RUDRAPPA,Janata Dal  (Secular),359,Karnataka,Kalghatgi,S10,75
RAJU R KALAGHATAGI,Independent,301,Karnataka,Kalghatgi,S10,75
BABAJAN IMAMSAB TADKOD,Independent,271,Karnataka,Kalghatgi,S10,75
INAYATULLA MAKTUMHUSEN TOLAGI,BhartiyaBahujanKranti Dal,218,Karnataka,Kalghatgi,S10,75
SHANKAR NINGAPPA HUDDAR,Independent,204,Karnataka,Kalghatgi,S10,75
IRAPPA SOMAPPA KALE,Shivsena,99,Karnataka,Kalghatgi,S10,75
SHRINIVAS C K  KONDAYYA VEMU,Independent,95,Karnataka,Kalghatgi,S10,75
RAJESAB MOULASAB DARAGAD,Independent,82,Karnataka,Kalghatgi,S10,75
BASAPPA RAMAPPA AIHOLLI,All India Mahila Empowerment Party,63,Karnataka,Kalghatgi,S10,75
MAHABOOBSAB (PEERA) MADARASAB MAKANADAR,Independent,59,Karnataka,Kalghatgi,S10,75
KULAKARNI SUVARNA GOVINDROA,Jana Samanyara Party (Karnataka),30,Karnataka,Kalghatgi,S10,75
SHANKAR SANGAPPA ROTTIGAWAD,Karnataka Jantha Paksha,28,Karnataka,Kalghatgi,S10,75
VEERUPAKSHI BASAVANTAPPA BADIGER,Sarva Janata Party,23,Karnataka,Kalghatgi,S10,75
None of the Above,None of the Above,350,Karnataka,Kalghatgi,S10,75
DESHPANDE R.V,Indian National Congress,61324,Karnataka,Haliyal,S10,76
SUNIL HEGADE,Bharatiya Janata Party,56224,Karnataka,Haliyal,S10,76
K. R.RAMESH,Janata Dal  (Secular),7189,Karnataka,Haliyal,S10,76
T. R. CHANDRASHEKHAR,Independent,2619,Karnataka,Haliyal,S10,76
YAMUNA  GAONKAR,Communist Party of India  (Marxist),1126,Karnataka,Haliyal,S10,76
KAKKERI BADESAB HUSSAINSAB,All India Mahila Empowerment Party,912,Karnataka,Haliyal,S10,76
JAHANGIR BABA KHAN,Indian New Congress Party,559,Karnataka,Haliyal,S10,76
SHANKAR BASAVANT FAKRI,Shivsena,544,Karnataka,Haliyal,S10,76
ELIYAS  KATI,Independent,410,Karnataka,Haliyal,S10,76
None of the Above,None of the Above,1273,Karnataka,Haliyal,S10,76
ROOPALI SANTOSH NAIK,Bharatiya Janata Party,59776,Karnataka,Karwar,S10,77
ANAND VASANT ASNOTIKAR,Janata Dal  (Secular),45967,Karnataka,Karwar,S10,77
SATISH KRISHNA SAIL,Indian National Congress,44767,Karnataka,Karwar,S10,77
MADHAV BABU NAYAK,Nationalist Congress Party,3716,Karnataka,Karwar,S10,77
KUNDABAI PARULEKAR,Rashtriya Jansambhavna Party,1616,Karnataka,Karwar,S10,77
KISHORE JAGANNATH SAWANT,Independent,685,Karnataka,Karwar,S10,77
None of the Above,None of the Above,2349,Karnataka,Karwar,S10,77
DINAKAR KESHAV SHETTY,Bharatiya Janata Party,50689,Karnataka,Kumta,S10,78
SHARADA MOHAN SHETTY,Indian National Congress,23877,Karnataka,Kumta,S10,78
SURAJ NAIK SONI,Independent,19394,Karnataka,Kumta,S10,78
NAYAK PRADEEP DAYANAND,Janata Dal  (Secular),15622,Karnataka,Kumta,S10,78
YASHODHAR G. NAIK,Independent,10841,Karnataka,Kumta,S10,78
KRISHNA JATTI GOUDA,Independent,4335,Karnataka,Kumta,S10,78
MOHAN BAGLU PATGAR,Indian New Congress Party,1228,Karnataka,Kumta,S10,78
NAGRAJ .N. NAIK,All India Mahila Empowerment Party,932,Karnataka,Kumta,S10,78
SUMANA HEGDE,Independent,722,Karnataka,Kumta,S10,78
PRASHANT SHANKAR NAIK,Independent,501,Karnataka,Kumta,S10,78
GANESH AMKUSH GOUDA,Independent,378,Karnataka,Kumta,S10,78
NAGRAJ SHRIDHAR SHET,Rashtriya Jansambhavna Party,341,Karnataka,Kumta,S10,78
None of the Above,None of the Above,2043,Karnataka,Kumta,S10,78
SUNIL BILIYA NAIK,Bharatiya Janata Party,82738,Karnataka,Bhatkal,S10,79
MANKAL VAIDYA,Indian National Congress,76998,Karnataka,Bhatkal,S10,79
GAPHUR SAB,All India Mahila Empowerment Party,1446,Karnataka,Bhatkal,S10,79
RAJESH NAIK,Independent,944,Karnataka,Bhatkal,S10,79
ABDUL RAHIMAN,Independent,569,Karnataka,Bhatkal,S10,79
PRAKASH PINTO,Independent,527,Karnataka,Bhatkal,S10,79
None of the Above,None of the Above,1983,Karnataka,Bhatkal,S10,79
KAGERI  VISHWESHWAR HEGDE,Bharatiya Janata Party,63597,Karnataka,Sirsi,S10,80
BHIMANNA  NAIK,Indian National Congress,45592,Karnataka,Sirsi,S10,80
SHASHIBHUSHAN HEGDE,Janata Dal  (Secular),23139,Karnataka,Sirsi,S10,80
AJJIBAL RAMANAND,Independent,814,Karnataka,Sirsi,S10,80
ANNAPPA AKASH S.K.,Shivsena,788,Karnataka,Sirsi,S10,80
ABDUL RAZAK SHAIKH,All India Mahila Empowerment Party,770,Karnataka,Sirsi,S10,80
None of the Above,None of the Above,1692,Karnataka,Sirsi,S10,80
ARABAIL HEBBAR SHIVARAM,Indian National Congress,65983,Karnataka,Yellapur,S10,81
ANDALAGI VEERABHADRAGOUDA SHIVANAGOUDA PATIL,Bharatiya Janata Party,64386,Karnataka,Yellapur,S10,81
NAIK RAVINDRA A.,Janata Dal  (Secular),6224,Karnataka,Yellapur,S10,81
JAMAKHANDI MAHABOOBALI,Independent,522,Karnataka,Yellapur,S10,81
NAGESH BHOVIWDDAR,Independent,345,Karnataka,Yellapur,S10,81
SACHIN NAIK BIN CHINTAMANI,Shivsena,310,Karnataka,Yellapur,S10,81
NILAPPA KHEERAPPA LAMANI,BhartiyaBahujanKranti Dal,307,Karnataka,Yellapur,S10,81
None of the Above,None of the Above,1417,Karnataka,Yellapur,S10,81
C M UDASI,Bharatiya Janata Party,69880,Karnataka,Hangal,S10,82
MANE SRINIVAS,Indian National Congress,65726,Karnataka,Hangal,S10,82
CHANDRAPPA JALAGAR,Independent,3303,Karnataka,Hangal,S10,82
HANAMANTAPPA C TALAVAR,Independent,1076,Karnataka,Hangal,S10,82
BOMMANAHALLI BABU,Janata Dal  (Secular),890,Karnataka,Hangal,S10,82
UDACHAPPA BASAVANNEPPA UDDANAKAL,Independent,734,Karnataka,Hangal,S10,82
AKKIVALLI HONNAPPA HANAMANTAPPA,Independent,449,Karnataka,Hangal,S10,82
MAHABOOBALI SAGGUMANAVAR,Independent,255,Karnataka,Hangal,S10,82
